URL: http://animexx.onlinewelten.com/datenbank-zuviel.phtml?them_id=1

Du siehst zuviel Sailor Moon, wenn...

... 	dein Papagei plötzlich beginnt, "Chibi Chibi" zu rufen. 	 Onkel_Montork
... 	du in der Süßwarenabteilung eine Zuckerstange greifst und rufst: "Zuckerherzen - fliegt!" 	 Onkel_Montork
... 	du als Richter einen Urteilspruch mit "Im Namen des Mondes" beginnst. 	 Onkel_Montork
... 	sich dein Pferd trotz allen Glockenläutens und Rufens dennoch nicht in Pegasus verwandelt. 	 Onkel_Montork
... 	du zum Juwelier gehst und nach Mondsteinen fragst. 	 Onkel_Montork
... 	du deiner Erzfeinin einen Spiegel hinhaltest und dabei "Licht des Spiegel, zerstöre sie!!!!" brüllst. (Hat leider nicht geklappt ;( ) 	 Schattenkriegerin
... 	du an Halloween die ganzen MONSTER im Sailor Moon Kostüm vertreibst (War echt lustig, aber nur für mich, der rest hielt mich für verrückt xd) 	 Schattenkriegerin
... 	du jeden blonden Mädchen mit kurzen Haaren hinterherrennst, in der anahme, es sei Haruka 	 Schattenkriegerin
... 	du jeden blonden Mädchen mit kurzen Haaren hinterherrennst, in der anahme, es sei Haruka 	 Schattenkriegerin
... 	du jede halbwegs gutaussehenden jungen mit schwarzen Haaren deine Schuh an den Kopf wirfst. 	 Schattenkriegerin
... 	du Minako mit Yaten, Ami mit Taiki und Bunny mit Seiya zusammenbringen möchtest 	
... 	du dir wünscht, dass das echte Leben auch so wie im Manga aussieht und es Sailor Moon und Co. tatsächlich geben würde 	
... 	du nur Geographie studierst, damit du später Sailor Earth werden kannst :) 	
... 	-dein Zimmer so mit Sailor Moon Fanartikeln voll gestopft ist, dass man kaum noch drin laufen kann. 	
... 	-alle Songs von den Super Moonies, Sera Myu und der japanischen Version des Sailor Moon Animes auswendig kannst. 	
... 	-du dir von deiner Lieblingssenshi den Henshin Stick/die Brosche gebastelt hast und nun versuchst krampfhaft in sie zuverwandeln 	
... 	du dir fest vornimmst deiner zukünftigen Tochter die Haare rosa zu färben und sie Usagi (Chibiusa) zu nennen. 	
... 	dein Lehrer unbewusst Moonlight Denetsu summt, dank deiner ständigen singerei 	
... 	du mit 24 Jahren nichts besseres zu tun hast als den halben Tag Sailor Moon Songs zu singen und dir dabei vorstellt endlich mal auf die Kriegerinnen zu treffen 	
... 	du in jedem Jungen deinen Ex-freund siehst 	
... 	du extra nach Japa fliegst ,nur um einmal die Three Lights Livez zu sehen 	
... 	du genau so empfindest wie haruka und denkst das du keinem richtig vertrauen kannst aussr diesem gewissen menschen (MICHIRU<3) (also ich denke genau so! ich habe nur ein problem : MICHIRU WO BIST DU????)(ICH SUCHE VERZWEIFELT NACH IHR !SEIT 2 JAHREN ) (ps :ich bin 14)<3 	
... 	du denkst, dass die Welt am 2die Herrschaft übernimmt und Crystal Tokio entsteht.1. 12. 2012 nicht untergehst, sondern das Usagi 	
... 	du mit deiner eben so sailor uranus und neptun verruckten freundin eine fortsetzung von haruka und michiru schreibst !!! und sie dann an naoko schickst !!! in der hoffnung das sie diese fortsetzung ,an die serie als grosses finale anhängt!!! 	
... 	du dir eine kugel(wie die von chibiusa)bastelst und in der nacht damit versuchst mit helios zu sprechen 	
... 	du jeden menschen (egal wer!!!auch verwante)verhaust der lesbische pärchen beleidigt !!!natürlich um haruka und michiru zu verteidigen!!! 	
... 	du ein mädchen bist ,du zufälligerweise wie ein junge aussiehst und dich in ein mädchen verliebst das wie michiru aussieht(was man???ich kann nichts dafür)ps ich sehe wirklich wie haruka aus!!!![fReuz¨¨¨¨¨¨! 	
... 	du haar genau wie haruka aussiehst!!!/(und das von natur auss))) 	
... 	du dir vornimmst mit 17 eine yamaha R6,rot/weiss zu kaufen und damit am strand entlang fährst!!!!muss ich mal machen aber binn erst 13 !!!!heul!!!^noch etwas `DOC` rockt ab!!!!(^^^) 	
